CODIGO,NOME,DOCUMENTO,CEP,CPF_SOCIO
97120672794319,Pedro Ribeiro,30157642000160,10786390,58102394633
97120672794319,Pedro Ribeiro,30157642000160,10786390,69103275434
38274841674476,Juan da Mata,90345182000125,26675117,56278341026
38274841674476,Juan da Mata,90345182000125,26675117,39628750186
75149039777875,Natália Costa,03245789000139,07653845,04157296885
75149039777875,Natália Costa,03245789000139,07653845,82095431723
75149039777875,Natália Costa,03245789000139,07653845,58031427941
67241339433029,Lavínia Pimenta,15708962000177,53165566,68215047920
67241339433029,Lavínia Pimenta,15708962000177,53165566,68910572485
66533178716320,Lara da Luz,92503617000148,37109921,37948126546
66533178716320,Lara da Luz,92503617000148,37109921,02495367143
66533178716320,Lara da Luz,92503617000148,37109921,68215047920
64281805425414,Sra. Ana Liz Fogaça,79482163000108,49618025,24793560199
64281805425414,Sra. Ana Liz Fogaça,79482163000108,49618025,79032465856
23066023117743,Kaique Oliveira,83945126000166,30789650,36415789228
23066023117743,Kaique Oliveira,83945126000166,30789650,96541780366
23066023117743,Kaique Oliveira,83945126000166,30789650,17302648590
80255751657017,Giovanna da Paz,35107642000179,42902481,92504781601
80255751657017,Giovanna da Paz,35107642000179,42902481,24065387965
49521430650056,Ravy Alves,84902513000188,80439569,23860947150
49521430650056,Ravy Alves,84902513000188,80439569,59820641306
49521430650056,Ravy Alves,84902513000188,80439569,96230471507
47138236890535,Aurora Teixeira,05437289000124,13888858,72861409304
47138236890535,Aurora Teixeira,05437289000124,13888858,65489327065
27889531854280,Juliana Cardoso,02581463000110,70273611,27916843013
27889531854280,Juliana Cardoso,02581463000110,70273611,90132784505
34007352014138,Alícia Vargas,90438652000103,87975710,87926403113
34007352014138,Alícia Vargas,90438652000103,87975710,13675284026
34007352014138,Alícia Vargas,90438652000103,87975710,13260794840
21472473636339,Miguel Fonseca,01347962000184,66700414,37026841580
21472473636339,Miguel Fonseca,01347962000184,66700414,39648102589
65762565867578,Yago Pereira,70215694000160,75100295,26751890303
65762565867578,Yago Pereira,70215694000160,75100295,12985640776
